case,image,classic_ok,gnn_ok,same_success,classic_RA,classic_Dec,classic_Roll,classic_FOV,classic_distortion,classic_RMSE,classic_Matches,classic_Prob,classic_T_extract_ms,classic_T_solve_ms,classic_T_total_ms,classic_wall_ms,classic_centroids_extracted,classic_centroids_used,classic_observed_tetrads_possible,classic_observed_tetrads_tested,classic_hash_code_combinations,classic_hash_indices_queried,classic_hash_table_entries_raw,classic_hash_table_entries_after_fov,classic_catalog_candidates_tested,classic_edge_ratio_valid_candidates,classic_full_geometric_checks,classic_solution_tetrad_number,classic_solution_hash_query_number,classic_solution_geometric_check_number,classic_error,gnn_RA,gnn_Dec,gnn_Roll,gnn_FOV,gnn_distortion,gnn_RMSE,gnn_Matches,gnn_Prob,gnn_model,gnn_anchor_attempts,gnn_anchor_hypotheses_max,gnn_sep_rejections,gnn_min_sep_skips,gnn_invalid_pair_skips,gnn_verification_rejections,gnn_anchor_indices,gnn_anchor_star_ids,gnn_anchor_ranks,gnn_anchor_confidences,gnn_anchor_coarse_fov,gnn_T_extract_ms,gnn_T_solve_ms,gnn_T_load_ms,gnn_T_inference_ms,gnn_T_hypothesis_search_ms,gnn_T_attitude_ms,gnn_T_total_no_load_ms,gnn_wall_ms,gnn_error,delta_RA_deg,delta_Dec_deg,delta_Roll_deg,pointing_sep_deg
img1_1000ms_18-50,/projects/F202603931CPCAA0/goncalo/tetra4/imgs_extras/imgs_teste/img1_1000ms_18-50/1000ms_18-50-26-712529.tiff,True,True,True,12.020681524171565,61.35816538812239,133.05307509940178,16.87532001003065,0.011328623794067868,41.59929987889985,20,2.0028126749603278e-31,102.92255703825504,1197.0884629990906,1300.0110200373456,1396.5357189299539,78,30,70,3,1882,824,13126,13126,13126,2070,2061,3,824,2061,,12.02346924296484,61.36920157252873,133.04924508944327,16.90806371761606,0.008863266751802965,19.865467159801515,20,6.994976475095032e-36,1438152_20260612_005826,1,216,9,0,0,0,6;3,592;107,1;1,0.5442402362823486;0.5186346173286438,17.01297951706778,53.63483796827495,195.51237695850432,0.41162699926644564,172.51058400142938,21.334792021661997,0.0007300404831767082,248.73558792751282,250.1193209318444,,0.002787718793275218,0.011036184406343352,0.003830009958505798,0.011116757073136349
img2_with_hot_pixels,/projects/F202603931CPCAA0/goncalo/tetra4/imgs_extras/imgs_teste/img2_with_hot_pixels/img_4_tiff_2026_03_23_21_27_08_851331_828414_with_hot_pixels.tiff,True,True,True,111.69488976740533,28.578667771044728,312.5996806124624,16.961835469450612,0.007866307607194494,21.2325002535638,22,6.296214782227928e-37,43.461970053613186,45.41279003024101,88.8747600838542,92.63206995092332,71,30,70,4,154,136,2007,2007,2007,62,61,4,136,61,,111.69375851861963,28.579197001203113,312.60202801400726,16.96165567471783,0.0073624520711447275,21.363716262992043,22,2.1990011764181757e-41,1438152_20260612_005826,1,216,31,0,0,0,5;0,590;22,2;2,0.20801465213298798;0.03288406506180763,16.949218595746554,40.8681029221043,56.65956193115562,0.3591079730540514,30.223526060581207,25.861589005216956,0.000600004568696022,97.16855688020587,98.56307005975395,,0.0011312487856969256,0.000529230158385019,0.0023474015448528007,0.0011255932996642806
img2_without_hot_pixels,/projects/F202603931CPCAA0/goncalo/tetra4/imgs_extras/imgs_teste/img2_without_hot_pixels/img_4_fixed_without_hot_pixels.tiff,True,True,True,111.6945060943345,28.578756430556766,312.6024773323151,16.96054442814895,0.007943120672927854,19.573850172038828,22,6.296214782227928e-37,39.60897901561111,44.58062397316098,84.1896029887721,88.10533198993653,128,30,70,4,154,136,2007,2007,2007,61,60,4,136,60,,111.6936096370239,28.579291107110237,312.60411264742356,16.960258302855006,0.007676838364951609,19.451363901915556,22,2.1990011764181757e-41,1438152_20260612_005826,1,216,31,0,0,0,5;0,590;22,2;2,0.2071712464094162;0.03291478008031845,16.942830805275367,42.99519199412316,56.21564399916679,0.3572580171748996,29.730148962698877,25.915857986547053,0.0005699694156646729,98.85357797611505,100.31295090448111,,0.0008964573106027274,0.0005346765534710585,0.0016353151084445017,0.0009516371093663126
Observation_23_March_2026/imgObs_001_1_Object_9023_img1_194859,/projects/F202603931CPCAA0/goncalo/tetra4/imgs_extras/imgs_teste/Observation_23_March_2026/imgObs_001_1_Object_9023_img1_194859/img_1_tiff_2026_03_23_19_48_59_423227_221929.tiff,True,True,True,108.27201072278284,42.29862682115699,197.41203032746765,16.951586836961287,0.008933454903025285,20.090722719429966,23,9.01983432580994e-40,38.673483999446034,59.29478898178786,97.9682729812339,119.3248750641942,66,30,70,2,180,125,1641,1641,1641,96,95,2,125,95,,108.2751683113424,42.29754653769627,197.41176099037835,16.95218855562146,0.008890881093065694,17.85689739466192,23,3.1502461367009757e-44,1438152_20260612_005826,1,216,2,0,0,0,5;6,1287;1500,1;3,0.6473565101623535;0.0714954361319542,16.99354951017949,40.44796503148973,33.28471106942743,0.36498799454420805,29.714089003391564,2.996155060827732,0.0005700858309864998,73.36768810637295,74.7566509526223,,0.003157588559560054,0.0010802834607162026,0.000269337089292776,0.002573261306139538
Observation_23_March_2026/imgObs_002_1_Object_9023_img1_195017,/projects/F202603931CPCAA0/goncalo/tetra4/imgs_extras/imgs_teste/Observation_23_March_2026/imgObs_002_1_Object_9023_img1_195017/img_1_tiff_2026_03_23_19_50_17_189908_585717.tiff,True,True,True,108.15190856976169,42.229912496309886,197.7305860438207,16.956552128765942,0.00833364352694714,16.296465520171463,23,9.01983432580994e-40,38.78216294106096,356.14357190206647,394.92573484312743,398.41786795295775,69,30,70,3,480,392,10482,10482,10482,657,648,3,392,648,,108.1556703660818,42.22975834142185,197.72830156023502,16.956081707458434,0.008425621135578118,12.860427683771219,23,3.1502461367009757e-44,1438152_20260612_005826,1,216,0,0,0,0,6;3,1403;1154,1;1,0.6264580488204956;0.40924254059791565,16.990935297443304,41.284541017375886,31.62622998934239,0.3663289826363325,29.725839965976775,1.3261539861559868,0.0006299233064055443,72.54444202408195,73.8954049302265,,0.003761796320105759,0.0001541548880368282,0.002284483585668795,0.0027897023518742453
Observation_23_March_2026/imgObs_003_1_Object_9023_img2_194900,/projects/F202603931CPCAA0/goncalo/tetra4/imgs_extras/imgs_teste/Observation_23_March_2026/imgObs_003_1_Object_9023_img2_194900/img_2_tiff_2026_03_23_19_49_00_885512_524161.tiff,True,True,True,108.29716541275143,42.29793345537585,197.3923519267377,16.951822779587285,0.00878340483244363,17.368445590369284,24,1.1101057573626384e-42,38.756303023546934,95.82659404259175,134.58289706613868,138.9302349416539,71,30,70,3,228,173,3403,3403,3403,157,156,3,173,156,,108.30006565018863,42.29776530888679,197.39086073056066,16.951640715026198,0.008835469537371408,15.560980572991738,24,3.877129276592492e-47,1438152_20260612_005826,1,216,0,0,0,0,4;3,1403;1287,1;1,0.5379506349563599;0.5245355367660522,17.076095502705215,41.11032094806433,31.652559991925955,0.3657189663499594,29.674270073883235,1.402882975526154,0.0005600741133093834,72.39716197364032,73.74970498494804,,0.0029002374372026907,0.00016814648905949525,0.0014911961770280868,0.002151758930344735
Observation_23_March_2026/imgObs_004_1_Object_9023_img2_195018,/projects/F202603931CPCAA0/goncalo/tetra4/imgs_extras/imgs_teste/Observation_23_March_2026/imgObs_004_1_Object_9023_img2_195018/img_2_tiff_2026_03_23_19_50_18_921447_005770.tiff,True,True,True,108.15152436354359,42.23334691308114,197.7138455515845,16.956157028848942,0.007478216102834967,35.71131133392294,16,4.112971247381592e-21,38.787072990089655,296.2217159802094,335.00878897029907,338.527220999822,42,30,70,2,372,284,6851,6851,6851,565,556,2,284,556,,108.16123212322606,42.227239925885996,197.7090328263291,16.952699259888426,0.008907852825500768,15.406882920633024,16,1.4364866708638336e-25,1438152_20260612_005826,1,216,28,0,0,0,1;6,1287;1833,1;2,0.2635517418384552;0.15346534550189972,17.066891390294117,39.29035004694015,53.84344595950097,0.36359799560159445,29.743429040536284,23.529680096544325,0.0005599576979875565,92.77019801083952,94.1262919222936,,0.009707759682470396,0.006106987195146019,0.0048127252554195366,0.009432080084842368
Observation_23_March_2026/imgObs_005_1_Object_9023_img3_194902,/projects/F202603931CPCAA0/goncalo/tetra4/imgs_extras/imgs_teste/Observation_23_March_2026/imgObs_005_1_Object_9023_img3_194902/img_3_tiff_2026_03_23_19_49_02_619500_165392.tiff,True,True,True,108.29967567953523,42.29868501737199,197.39285187445063,16.95127874268505,0.00857647248669944,21.49643137816155,23,9.01983432580994e-40,38.78422302659601,15.24778304155916,54.03200606815517,57.72083590272814,63,30,70,2,108,72,484,484,484,19,18,2,72,18,,108.30497947485446,42.298310464744574,197.39139713771783,16.95112796906879,0.008726446025888996,16.251775877362242,23,3.1502461367009757e-44,1438152_20260612_005826,1,216,3,0,0,0,5;6,1287;1403,2;1,0.34486818313598633;0.4257088303565979,17.07331051600298,40.38234509062022,34.047576948069036,0.3629679558798671,29.70552898477763,3.75823094509542,0.0005699694156646729,74.06695408280939,75.41285699699074,,0.00530379531923586,0.0003745526274130384,0.0014547367327963912,0.0039407855409391785
Observation_23_March_2026/imgObs_006_1_Object_9023_img3_195020,/projects/F202603931CPCAA0/goncalo/tetra4/imgs_extras/imgs_teste/Observation_23_March_2026/imgObs_006_1_Object_9023_img3_195020/img_3_tiff_2026_03_23_19_50_20_655221_928050.tiff,True,True,True,107.99541727538221,42.214534923881004,197.8722625138182,16.955512410897857,0.007884810483234089,22.863632036592655,22,6.296214782227928e-37,38.59959391411394,483.3342160563916,521.9338099705055,525.7270409492776,67,30,70,8,790,678,14714,14714,14714,869,859,8,678,859,,107.99876934613786,42.209697548454535,197.87142507025422,16.954449920875742,0.008245604324491033,12.16612720159963,22,2.1990011764181757e-41,1438152_20260612_005826,1,216,1,0,0,0,4;2,1154;1500,1;2,0.6576692461967468;0.09652028232812881,17.027579598930437,40.362325962632895,32.42621594108641,0.3585279919207096,29.66796001419425,2.1892288932576776,0.0005599576979875565,72.4300139117986,73.76262603793293,,0.003352070755653358,0.004837375426468782,0.0008374435639950661,0.005437303032314199
Observation_23_March_2026/imgObs_007_1_Object_9023_img4_194904,/projects/F202603931CPCAA0/goncalo/tetra4/imgs_extras/imgs_teste/Observation_23_March_2026/imgObs_007_1_Object_9023_img4_194904/img_4_tiff_2026_03_23_19_49_04_352724_691167.tiff,True,True,True,108.31406083077373,42.29978916689768,197.39032511858926,16.95282149239853,0.008570065954284986,17.980034687317445,24,1.1101057573626384e-42,38.732324028387666,168.90956193674356,207.64188596513122,211.37746702879667,70,30,70,8,320,284,5771,5771,5771,275,274,8,284,274,,108.3176301400149,42.299382790878354,197.38851596943,16.952495090781188,0.00865672185812893,15.221160465108484,24,3.877129276592492e-47,1438152_20260612_005826,1,216,0,0,0,0,3;4,1154;1287,1;1,0.5347551703453064;0.4744682312011719,17.032961907755848,40.63538298942149,31.689569004811347,0.36401802208274603,29.733669012784958,1.3849729439243674,0.0005499459803104401,71.96093397215009,73.31851799972355,,0.0035693092411719363,0.00040637601932758116,0.0018091491592713282,0.0026710833515302783
