case,image,classic_ok,gnn_ok,same_success,classic_RA,classic_Dec,classic_Roll,classic_FOV,classic_distortion,classic_RMSE,classic_Matches,classic_Prob,classic_T_extract_ms,classic_T_solve_ms,classic_T_total_ms,classic_wall_ms,classic_centroids_extracted,classic_centroids_used,classic_observed_tetrads_possible,classic_observed_tetrads_tested,classic_hash_code_combinations,classic_hash_indices_queried,classic_hash_table_entries_raw,classic_hash_table_entries_after_fov,classic_catalog_candidates_tested,classic_edge_ratio_valid_candidates,classic_full_geometric_checks,classic_solution_tetrad_number,classic_solution_hash_query_number,classic_solution_geometric_check_number,classic_error,gnn_RA,gnn_Dec,gnn_Roll,gnn_FOV,gnn_distortion,gnn_RMSE,gnn_Matches,gnn_Prob,gnn_model,gnn_anchor_attempts,gnn_anchor_hypotheses_max,gnn_sep_rejections,gnn_min_sep_skips,gnn_invalid_pair_skips,gnn_verification_rejections,gnn_verification_budget,gnn_verification_tests_performed,gnn_verification_budget_exhausted,gnn_per_verification_threshold,gnn_anchor_indices,gnn_anchor_star_ids,gnn_anchor_ranks,gnn_anchor_confidences,gnn_anchor_coarse_fov,gnn_T_extract_ms,gnn_T_solve_ms,gnn_T_load_ms,gnn_T_inference_ms,gnn_T_hypothesis_search_ms,gnn_T_attitude_ms,gnn_T_total_no_load_ms,gnn_wall_ms,gnn_error,delta_RA_deg,delta_Dec_deg,delta_Roll_deg,pointing_sep_deg
img1_1000ms_18-50,/projects/F202603931CPCAA0/goncalo/tetra4/imgs_extras/imgs_teste/img1_1000ms_18-50/1000ms_18-50-26-712529.tiff,True,True,True,12.020681524171565,61.35816538812239,133.05307509940178,16.87532001003065,0.011328623794067868,41.59929987889985,20.0,2.0028126749603278e-31,102.92255703825504,1197.0884629990906,1300.0110200373456,1396.5357189299539,78.0,30.0,70.0,3.0,1882.0,824.0,13126.0,13126.0,13126.0,2070.0,2061.0,3.0,824.0,2061.0,,12.023462061369601,61.36938548585769,133.04930123889352,16.912490118337452,0.008533769717607973,20.43263443783016,20,2.104969772598042e-36,epoch_012,3,11200,901,0,0,2,65,3,False,1.5384615384615384e-05,1;6,62;592,1;4,0.8621970415115356;0.059324804693460464,17.040656853920577,568.98711505346,936.3683350384235,0.27594692073762417,138.400370022282,794.3444158881903,0.0013799872249364853,1505.079503171146,1678.7471640855074,,0.0027805371980367255,0.01122009773530408,0.0037738605082608956,0.011298952125378885
img2_with_hot_pixels,/projects/F202603931CPCAA0/goncalo/tetra4/imgs_extras/imgs_teste/img2_with_hot_pixels/img_4_tiff_2026_03_23_21_27_08_851331_828414_with_hot_pixels.tiff,True,True,True,111.69488976740533,28.578667771044728,312.5996806124624,16.961835469450612,0.007866307607194494,21.2325002535638,22.0,6.296214782227928e-37,43.461970053613186,45.41279003024101,88.8747600838542,92.63206995092332,71.0,30.0,70.0,4.0,154.0,136.0,2007.0,2007.0,2007.0,62.0,61.0,4.0,136.0,61.0,,111.69359928152825,28.57974240707063,312.60230170364343,16.961934502087313,0.008169170911040953,20.704728291656764,22,6.617364651258399e-42,epoch_012,1,11200,110,0,0,0,65,1,False,1.5384615384615384e-05,5;4,590;387,2;1,0.01415102556347847;0.9250221252441406,17.07052546597671,51.60799785517156,103.6089351400733,0.2890971954911947,15.47833508811891,87.662243982777,0.0006400514394044876,154.92783579975367,158.64618285559118,,0.0012904858770781402,0.0010746360259012988,0.0026210911810267135,0.0015617604104672233
img2_without_hot_pixels,/projects/F202603931CPCAA0/goncalo/tetra4/imgs_extras/imgs_teste/img2_without_hot_pixels/img_4_fixed_without_hot_pixels.tiff,True,True,True,111.6945060943345,28.578756430556766,312.6024773323151,16.96054442814895,0.007943120672927854,19.573850172038828,22.0,6.296214782227928e-37,39.60897901561111,44.58062397316098,84.1896029887721,88.10533198993653,128.0,30.0,70.0,4.0,154.0,136.0,2007.0,2007.0,2007.0,61.0,60.0,4.0,136.0,60.0,,111.69359412217108,28.579519269847907,312.60418686348964,16.96070909038274,0.008102493849222576,19.248185184065445,22,6.617364651258399e-42,epoch_012,1,11200,110,0,0,0,65,1,False,1.5384615384615384e-05,5;4,590;387,2;1,0.014189950190484524;0.9240663647651672,17.07273665284918,43.289801804348826,103.48282591439784,0.32957689836621284,15.40193590335548,87.5774840824306,0.0005508773028850555,146.44305082038045,150.21078707650304,,0.0009119721634220923,0.0007628392911414039,0.0017095311745265462,0.0011060254519413956
Observation_23_March_2026/imgObs_001_1_Object_9023_img1_194859,/projects/F202603931CPCAA0/goncalo/tetra4/imgs_extras/imgs_teste/Observation_23_March_2026/imgObs_001_1_Object_9023_img1_194859/img_1_tiff_2026_03_23_19_48_59_423227_221929.tiff,True,True,True,108.27201072278284,42.29862682115699,197.41203032746765,16.951586836961287,0.008933454903025285,20.090722719429966,23.0,9.01983432580994e-40,38.673483999446034,59.29478898178786,97.9682729812339,119.3248750641942,66.0,30.0,70.0,2.0,180.0,125.0,1641.0,1641.0,1641.0,96.0,95.0,2.0,125.0,95.0,,108.2751683113424,42.29754653769627,197.41176099037835,16.95218855562146,0.008890881093065694,17.85689739466192,23,9.479907355813121e-45,epoch_012,16,11200,987,0,0,15,65,16,False,1.5384615384615384e-05,5;6,1287;1500,1;3,0.789350688457489;0.09534569084644318,16.99354951017949,40.72019294835627,803.8596219848841,0.32841693609952927,15.36096609197557,787.9935009405017,0.0005399342626333237,844.2513979971409,857.5469329953194,,0.003157588559560054,0.0010802834607162026,0.000269337089292776,0.002573261306139538
Observation_23_March_2026/imgObs_002_1_Object_9023_img1_195017,/projects/F202603931CPCAA0/goncalo/tetra4/imgs_extras/imgs_teste/Observation_23_March_2026/imgObs_002_1_Object_9023_img1_195017/img_1_tiff_2026_03_23_19_50_17_189908_585717.tiff,True,True,True,108.15190856976169,42.229912496309886,197.7305860438207,16.956552128765942,0.00833364352694714,16.296465520171463,23.0,9.01983432580994e-40,38.78216294106096,356.14357190206647,394.92573484312743,398.41786795295775,69.0,30.0,70.0,3.0,480.0,392.0,10482.0,10482.0,10482.0,657.0,648.0,3.0,392.0,648.0,,108.1556818813042,42.22975957664433,197.72829610908613,16.95579426395873,0.008481807496820966,12.85220338523682,23,9.479907355813121e-45,epoch_012,1,11200,43,0,0,0,65,1,False,1.5384615384615384e-05,3;4,1154;1500,5;4,0.0005234280833974481;0.005335252266377211,17.04533253643644,40.81246303394437,51.04820383712649,0.32947701402008533,15.434565022587776,35.11184290982783,0.0005799811333417892,91.53118985705078,121.76575604826212,,0.0037733115425169217,0.00015291966555963654,0.0022899347345628485,0.0027981480108712547
Observation_23_March_2026/imgObs_003_1_Object_9023_img2_194900,/projects/F202603931CPCAA0/goncalo/tetra4/imgs_extras/imgs_teste/Observation_23_March_2026/imgObs_003_1_Object_9023_img2_194900/img_2_tiff_2026_03_23_19_49_00_885512_524161.tiff,True,True,True,108.29716541275143,42.29793345537585,197.3923519267377,16.951822779587285,0.00878340483244363,17.368445590369284,24.0,1.1101057573626384e-42,38.756303023546934,95.82659404259175,134.58289706613868,138.9302349416539,71.0,30.0,70.0,3.0,228.0,173.0,3403.0,3403.0,3403.0,157.0,156.0,3.0,173.0,156.0,,108.3000614441186,42.297765062666414,197.3908624635881,16.951692192949604,0.008820746426227977,15.564401801680884,24,1.166728717493111e-47,epoch_012,13,11200,728,0,0,12,65,13,False,1.5384615384615384e-05,2;0,1154;1296,5;1,0.0012956340797245502;0.9527785181999207,17.03796504450959,41.534487158060074,599.0840729791671,0.3289170563220978,15.725252917036414,582.8489349223673,0.0005401670932769775,640.2896430809051,664.5677399355918,,0.0028960313671717586,0.0001683927094333626,0.001489463149596304,0.0021486767186796197
Observation_23_March_2026/imgObs_004_1_Object_9023_img2_195018,/projects/F202603931CPCAA0/goncalo/tetra4/imgs_extras/imgs_teste/Observation_23_March_2026/imgObs_004_1_Object_9023_img2_195018/img_2_tiff_2026_03_23_19_50_18_921447_005770.tiff,True,True,True,108.15152436354359,42.23334691308114,197.7138455515845,16.956157028848942,0.007478216102834967,35.71131133392294,16.0,4.112971247381592e-21,38.787072990089655,296.2217159802094,335.00878897029907,338.527220999822,42.0,30.0,70.0,2.0,372.0,284.0,6851.0,6851.0,6851.0,565.0,556.0,2.0,284.0,556.0,,108.16077760979448,42.22747646641335,197.70919283165122,16.954527712397404,0.008155628408380538,15.845838813768195,16,4.3227608150994996e-26,epoch_012,25,11200,1707,0,1,24,65,25,False,1.5384615384615384e-05,1;2,1287;944,4;3,0.02745717391371727;0.17558714747428894,16.981941844073962,39.53781514428556,1376.6645852010697,0.32370700500905514,15.470354817807674,1360.694503877312,0.0005501788109540939,1415.8786933403462,1446.4909450616688,,0.009253246250892744,0.005870446667792351,0.004652719933289973,0.009022518687870247
Observation_23_March_2026/imgObs_005_1_Object_9023_img3_194902,/projects/F202603931CPCAA0/goncalo/tetra4/imgs_extras/imgs_teste/Observation_23_March_2026/imgObs_005_1_Object_9023_img3_194902/img_3_tiff_2026_03_23_19_49_02_619500_165392.tiff,True,True,True,108.29967567953523,42.29868501737199,197.39285187445063,16.95127874268505,0.00857647248669944,21.49643137816155,23.0,9.01983432580994e-40,38.78422302659601,15.24778304155916,54.03200606815517,57.72083590272814,63.0,30.0,70.0,2.0,108.0,72.0,484.0,484.0,484.0,19.0,18.0,2.0,72.0,18.0,,108.30493289249533,42.29830925960076,197.3914082759938,16.951213953730942,0.00864184976170286,16.313700271010276,23,9.479907355813121e-45,epoch_012,22,11200,1501,0,0,21,65,22,False,1.5384615384615384e-05,5;3,1287;1500,3;3,0.07576803117990494;0.07326400279998779,16.99546916432387,40.54919583722949,1213.162953965366,0.32628700137138367,15.523374080657959,1197.135864989832,0.0005401670932769775,1253.385862801224,1265.6983251217753,,0.005257212960103175,0.000375757771230667,0.0014435984568308413,0.0039066040981705335
Observation_23_March_2026/imgObs_006_1_Object_9023_img3_195020,/projects/F202603931CPCAA0/goncalo/tetra4/imgs_extras/imgs_teste/Observation_23_March_2026/imgObs_006_1_Object_9023_img3_195020/img_3_tiff_2026_03_23_19_50_20_655221_928050.tiff,True,True,True,107.99541727538221,42.214534923881004,197.8722625138182,16.955512410897857,0.007884810483234089,22.863632036592655,22.0,6.296214782227928e-37,38.59959391411394,483.3342160563916,521.9338099705055,525.7270409492776,67.0,30.0,70.0,8.0,790.0,678.0,14714.0,14714.0,14714.0,869.0,859.0,8.0,678.0,859.0,,107.9987650713181,42.20970106772387,197.87142677846458,16.954493283468146,0.008230969608717834,12.172565117757028,22,6.617364651258399e-42,epoch_012,5,11200,719,0,1,4,65,5,False,1.5384615384615384e-05,2;3,1500;1287,3;5,0.0206079613417387;0.0029909671284258366,17.02223546599325,40.67637398838997,587.0330990292132,0.3193181473761797,15.517814084887505,571.0248879622668,0.0005599576979875565,627.390154870227,650.2264959271997,,0.0033477959358947373,0.004833856157134164,0.0008357353536325718,0.005432726481032599
Observation_23_March_2026/imgObs_007_1_Object_9023_img4_194904,/projects/F202603931CPCAA0/goncalo/tetra4/imgs_extras/imgs_teste/Observation_23_March_2026/imgObs_007_1_Object_9023_img4_194904/img_4_tiff_2026_03_23_19_49_04_352724_691167.tiff,True,True,True,108.31406083077373,42.29978916689768,197.39032511858926,16.95282149239853,0.008570065954284986,17.980034687317445,24.0,1.1101057573626384e-42,38.732324028387666,168.90956193674356,207.64188596513122,211.37746702879667,70.0,30.0,70.0,8.0,320.0,284.0,5771.0,5771.0,5771.0,275.0,274.0,8.0,284.0,274.0,,108.31762261158423,42.299382692607196,197.388520602314,16.952581900700764,0.008633668184212098,15.228486457081564,24,1.166728717493111e-47,epoch_012,1,11200,490,0,0,0,65,1,False,1.5384615384615384e-05,4;2,1287;1500,10;1,0.00012429662456270307;0.395436555147171,17.007835498626797,45.3404039144516,401.64067898876965,0.2754270099103451,15.612663934007287,385.58086985722184,0.0005511101335287094,446.7056558933109,473.4924300573766,,0.0035617808105001814,0.0004064742904859031,0.0018045162752571287,0.0026655948115126096
