case,image,classic_ok,gnn_ok,same_success,classic_RA,classic_Dec,classic_Roll,classic_FOV,classic_distortion,classic_RMSE,classic_Matches,classic_Prob,classic_T_extract_ms,classic_T_solve_ms,classic_T_total_ms,classic_wall_ms,classic_centroids_extracted,classic_centroids_used,classic_observed_tetrads_possible,classic_observed_tetrads_tested,classic_hash_code_combinations,classic_hash_indices_queried,classic_hash_table_entries_raw,classic_hash_table_entries_after_fov,classic_catalog_candidates_tested,classic_edge_ratio_valid_candidates,classic_full_geometric_checks,classic_solution_tetrad_number,classic_solution_hash_query_number,classic_solution_geometric_check_number,classic_error,gnn_RA,gnn_Dec,gnn_Roll,gnn_FOV,gnn_distortion,gnn_RMSE,gnn_Matches,gnn_Prob,gnn_model,gnn_anchor_attempts,gnn_anchor_hypotheses_max,gnn_sep_rejections,gnn_min_sep_skips,gnn_invalid_pair_skips,gnn_verification_rejections,gnn_verification_budget,gnn_verification_tests_performed,gnn_verification_budget_exhausted,gnn_per_verification_threshold,gnn_anchor_indices,gnn_anchor_star_ids,gnn_anchor_ranks,gnn_anchor_confidences,gnn_anchor_coarse_fov,gnn_T_extract_ms,gnn_T_solve_ms,gnn_T_load_ms,gnn_T_inference_ms,gnn_T_hypothesis_search_ms,gnn_T_attitude_ms,gnn_T_total_no_load_ms,gnn_wall_ms,gnn_error,delta_RA_deg,delta_Dec_deg,delta_Roll_deg,pointing_sep_deg
img1_1000ms_18-50,/projects/F202603931CPCAA0/goncalo/tetra4/imgs_extras/imgs_teste/img1_1000ms_18-50/1000ms_18-50-26-712529.tiff,True,True,True,12.020681524171565,61.35816538812239,133.05307509940178,16.87532001003065,0.011328623794067868,41.59929987889985,20.0,2.0028126749603278e-31,102.92255703825504,1197.0884629990906,1300.0110200373456,1396.5357189299539,78.0,30.0,70.0,3.0,1882.0,824.0,13126.0,13126.0,13126.0,2070.0,2061.0,3.0,824.0,2061.0,,12.023462061369601,61.36938548585769,133.04930123889352,16.912490118337452,0.008533769717607973,20.43263443783016,20,2.104969772598042e-36,epoch_014,1,11200,0,0,0,0,65,1,False,1.5384615384615384e-05,1;6,62;592,1;1,0.8821433186531067;0.7384281158447266,17.040656853920577,252.98660714179277,284.5542321447283,0.2934979274868965,141.1912350449711,139.8261170834303,0.0006901100277900696,537.2473413590342,662.6164170447737,,0.0027805371980367255,0.01122009773530408,0.0037738605082608956,0.011298952125378885
img2_with_hot_pixels,/projects/F202603931CPCAA0/goncalo/tetra4/imgs_extras/imgs_teste/img2_with_hot_pixels/img_4_tiff_2026_03_23_21_27_08_851331_828414_with_hot_pixels.tiff,True,True,True,111.69488976740533,28.578667771044728,312.5996806124624,16.961835469450612,0.007866307607194494,21.2325002535638,22.0,6.296214782227928e-37,43.461970053613186,45.41279003024101,88.8747600838542,92.63206995092332,71.0,30.0,70.0,4.0,154.0,136.0,2007.0,2007.0,2007.0,62.0,61.0,4.0,136.0,61.0,,111.69361731221248,28.579680281122727,312.60227182811855,16.961905129251754,0.008077181983006798,20.6497496242216,22,6.617364651258399e-42,epoch_014,1,11200,2,0,0,0,65,1,False,1.5384615384615384e-05,3;0,535;22,1;3,0.7585369348526001;0.03174148499965668,17.056815979577472,45.50029803067446,19.01006093248725,0.292428070679307,15.50249895080924,3.038655035197735,0.0006498303264379501,64.2179308924824,82.27516897022724,,0.0012724551928471328,0.0010125100779987406,0.0025912156561389565,0.0015079104960192347
img2_without_hot_pixels,/projects/F202603931CPCAA0/goncalo/tetra4/imgs_extras/imgs_teste/img2_without_hot_pixels/img_4_fixed_without_hot_pixels.tiff,True,True,True,111.6945060943345,28.578756430556766,312.6024773323151,16.96054442814895,0.007943120672927854,19.573850172038828,22.0,6.296214782227928e-37,39.60897901561111,44.58062397316098,84.1896029887721,88.10533198993653,128.0,30.0,70.0,4.0,154.0,136.0,2007.0,2007.0,2007.0,61.0,60.0,4.0,136.0,60.0,,111.69359612299756,28.57949109787766,312.6041781032136,16.960655224839893,0.008049840925311864,19.223759719940414,22,6.617364651258399e-42,epoch_014,1,11200,2,0,0,0,65,1,False,1.5384615384615384e-05,3;0,535;22,1;3,0.7584649324417114;0.0317128449678421,17.05683703488713,43.2277771178633,19.060831051319838,0.31814700923860073,15.535179991275072,3.032214008271694,0.0006710179150104523,61.970461159944534,84.7613678779453,,0.0009099713369380424,0.0007346673208949994,0.0017007708984806413,0.0010854925279378915
Observation_23_March_2026/imgObs_001_1_Object_9023_img1_194859,/projects/F202603931CPCAA0/goncalo/tetra4/imgs_extras/imgs_teste/Observation_23_March_2026/imgObs_001_1_Object_9023_img1_194859/img_1_tiff_2026_03_23_19_48_59_423227_221929.tiff,True,True,True,108.27201072278284,42.29862682115699,197.41203032746765,16.951586836961287,0.008933454903025285,20.090722719429966,23.0,9.01983432580994e-40,38.673483999446034,59.29478898178786,97.9682729812339,119.3248750641942,66.0,30.0,70.0,2.0,180.0,125.0,1641.0,1641.0,1641.0,96.0,95.0,2.0,125.0,95.0,,108.27515930190636,42.297538972889164,197.41176107173922,16.95255227901223,0.008865339346744158,17.872243066749537,23,9.479907355813121e-45,epoch_014,2,11200,72,0,0,1,65,2,False,1.5384615384615384e-05,7;6,1631;1500,8;4,0.003875374561175704;0.02695058099925518,17.02560498252385,40.94475577585399,74.08708799630404,0.32913684844970703,15.496770152822137,58.074803091585636,0.0006600748747587204,114.70270692370832,128.3738419879228,,0.0031485791235184024,0.0010878482678222667,0.00026925572842628753,0.0025704071877365835
Observation_23_March_2026/imgObs_002_1_Object_9023_img1_195017,/projects/F202603931CPCAA0/goncalo/tetra4/imgs_extras/imgs_teste/Observation_23_March_2026/imgObs_002_1_Object_9023_img1_195017/img_1_tiff_2026_03_23_19_50_17_189908_585717.tiff,True,True,True,108.15190856976169,42.229912496309886,197.7305860438207,16.956552128765942,0.00833364352694714,16.296465520171463,23.0,9.01983432580994e-40,38.78216294106096,356.14357190206647,394.92573484312743,398.41786795295775,69.0,30.0,70.0,3.0,480.0,392.0,10482.0,10482.0,10482.0,657.0,648.0,3.0,392.0,648.0,,108.1556703660818,42.22975834142185,197.72830156023502,16.956081707458434,0.008425621135578118,12.860427683771219,23,9.479907355813121e-45,epoch_014,1,11200,0,0,0,0,65,1,False,1.5384615384615384e-05,6;3,1403;1154,1;1,0.6663315296173096;0.45158061385154724,16.990935297443304,40.58527993038297,17.342044040560722,0.3318472299724817,15.541029162704945,1.2994189746677876,0.0006200280040502548,57.59547674097121,79.38178395852447,,0.003761796320105759,0.0001541548880368282,0.002284483585668795,0.0027897023518742453
Observation_23_March_2026/imgObs_003_1_Object_9023_img2_194900,/projects/F202603931CPCAA0/goncalo/tetra4/imgs_extras/imgs_teste/Observation_23_March_2026/imgObs_003_1_Object_9023_img2_194900/img_2_tiff_2026_03_23_19_49_00_885512_524161.tiff,True,True,True,108.29716541275143,42.29793345537585,197.3923519267377,16.951822779587285,0.00878340483244363,17.368445590369284,24.0,1.1101057573626384e-42,38.756303023546934,95.82659404259175,134.58289706613868,138.9302349416539,71.0,30.0,70.0,3.0,228.0,173.0,3403.0,3403.0,3403.0,157.0,156.0,3.0,173.0,156.0,,108.3000646095098,42.297765310129805,197.39086095693366,16.951653971413176,0.008831677941212075,15.561944365187493,24,1.166728717493111e-47,epoch_014,1,11200,0,0,0,0,65,1,False,1.5384615384615384e-05,0;3,1296;1287,1;1,0.5884120464324951;0.5558710098266602,17.066288113811417,42.76422108523548,18.002508906647563,0.35758689045906067,15.984355937689543,1.4563980512320995,0.0006600748747587204,60.40914310142398,86.61643299274147,,0.0028991967583777978,0.00016814524604313874,0.0014909698040241892,0.00215099150253057
Observation_23_March_2026/imgObs_004_1_Object_9023_img2_195018,/projects/F202603931CPCAA0/goncalo/tetra4/imgs_extras/imgs_teste/Observation_23_March_2026/imgObs_004_1_Object_9023_img2_195018/img_2_tiff_2026_03_23_19_50_18_921447_005770.tiff,True,True,True,108.15152436354359,42.23334691308114,197.7138455515845,16.956157028848942,0.007478216102834967,35.71131133392294,16.0,4.112971247381592e-21,38.787072990089655,296.2217159802094,335.00878897029907,338.527220999822,42.0,30.0,70.0,2.0,372.0,284.0,6851.0,6851.0,6851.0,565.0,556.0,2.0,284.0,556.0,,108.16121380765559,42.22724958562634,197.70903813617477,16.952774469139307,0.00887707161976861,15.390467998566104,16,4.3227608150994996e-26,epoch_014,6,11200,694,0,1,5,65,6,False,1.5384615384615384e-05,5;1,1154;1287,1;1,0.42479845881462097;0.3474535346031189,17.0634340241897,40.09754303842783,557.1136230137199,0.34636701457202435,15.900956001132727,540.6615911051631,0.0005899928510189056,596.8647990375757,626.6568498685956,,0.009689444111998569,0.006097327454803292,0.0048074154097434985,0.009415490064425871
Observation_23_March_2026/imgObs_005_1_Object_9023_img3_194902,/projects/F202603931CPCAA0/goncalo/tetra4/imgs_extras/imgs_teste/Observation_23_March_2026/imgObs_005_1_Object_9023_img3_194902/img_3_tiff_2026_03_23_19_49_02_619500_165392.tiff,True,True,True,108.29967567953523,42.29868501737199,197.39285187445063,16.95127874268505,0.00857647248669944,21.49643137816155,23.0,9.01983432580994e-40,38.78422302659601,15.24778304155916,54.03200606815517,57.72083590272814,63.0,30.0,70.0,2.0,108.0,72.0,484.0,484.0,484.0,19.0,18.0,2.0,72.0,18.0,,108.30495721553689,42.298309812119136,197.39140295610693,16.95116951343609,0.008685863422780358,16.27763415628329,23,9.479907355813121e-45,epoch_014,1,11200,11,0,0,0,65,1,False,1.5384615384615384e-05,5;2,1287;1154,2;2,0.1724100559949875;0.2544451057910919,17.036087647882745,42.78941103257239,31.40000719577074,0.3948670346289873,20.832974929362535,9.965426987037063,0.000600004568696022,73.79455119371414,93.29021698795259,,0.005281536001660925,0.000375205252851174,0.0014489183436978692,0.003924458584352738
Observation_23_March_2026/imgObs_006_1_Object_9023_img3_195020,/projects/F202603931CPCAA0/goncalo/tetra4/imgs_extras/imgs_teste/Observation_23_March_2026/imgObs_006_1_Object_9023_img3_195020/img_3_tiff_2026_03_23_19_50_20_655221_928050.tiff,True,True,True,107.99541727538221,42.214534923881004,197.8722625138182,16.955512410897857,0.007884810483234089,22.863632036592655,22.0,6.296214782227928e-37,38.59959391411394,483.3342160563916,521.9338099705055,525.7270409492776,67.0,30.0,70.0,8.0,790.0,678.0,14714.0,14714.0,14714.0,869.0,859.0,8.0,678.0,859.0,,107.99876934613786,42.209697548454535,197.87142507025422,16.954449920875742,0.008245604324491033,12.16612720159963,22,6.617364651258399e-42,epoch_014,1,11200,2,0,0,0,65,1,False,1.5384615384615384e-05,4;2,1154;1500,1;3,0.7279797792434692;0.055859457701444626,17.027579598930437,41.53313208371401,19.388717133551836,0.3328169696033001,15.787747921422124,3.084433963522315,0.0005599576979875565,60.589032247662544,80.28016588650644,,0.003352070755653358,0.004837375426468782,0.0008374435639950661,0.005437303032314199
Observation_23_March_2026/imgObs_007_1_Object_9023_img4_194904,/projects/F202603931CPCAA0/goncalo/tetra4/imgs_extras/imgs_teste/Observation_23_March_2026/imgObs_007_1_Object_9023_img4_194904/img_4_tiff_2026_03_23_19_49_04_352724_691167.tiff,True,True,True,108.31406083077373,42.29978916689768,197.39032511858926,16.95282149239853,0.008570065954284986,17.980034687317445,24.0,1.1101057573626384e-42,38.732324028387666,168.90956193674356,207.64188596513122,211.37746702879667,70.0,30.0,70.0,8.0,320.0,284.0,5771.0,5771.0,5771.0,275.0,274.0,8.0,284.0,274.0,,108.3176301400149,42.299382790878354,197.38851596943,16.952495090781188,0.00865672185812893,15.221160465108484,24,1.166728717493111e-47,epoch_014,1,11200,0,0,0,0,65,1,False,1.5384615384615384e-05,3;4,1154;1287,1;1,0.5829014778137207;0.5631304979324341,17.032961907755848,41.762189008295536,17.606341978535056,0.33291708678007126,15.706578036770225,1.3820389285683632,0.000619795173406601,59.03561390005052,87.22799690440297,,0.0035693092411719363,0.00040637601932758116,0.0018091491592713282,0.0026710833515302783
